"species","countries"
"Felis_silvestris","AFG, AGO, ALB, AND, ARE, ARM, AUT, AZE, BDI, BEL, BEN, BFA, BGR, BIH, BLR, BWA, CAF, CHE, CHN, CIV, CMR, COD, COG, CZE, DEU, DJI, DZA, EGY, ERI, ESH, ESP, ETH, FRA, GAB, GBR, GEO, GHA, GIB, GIN, GMB, GNB, GRC, HRV, HUN, IND, IRN, IRQ, ISR, ITA, JOR, KAZ, KEN, KGZ, LBN, LBY, LSO, LUX, MAR, MDA, MKD, MLI, MNE, MNG, MOZ, MRT, MWI, NAM, NER, NGA, NLD, OMN, PAK, POL, PRT, PSE, ROU, RUS, RWA, SAU, SDN, SEN, SLE, SOM, SRB, SSD, SVK, SVN, SWZ, SYR, TCD, TGO, TJK, TKM, TUN, TUR, TZA, UGA, UKR, UZB, XCA, XKO, YEM, Z06, ZAF, ZMB, ZWE"
"Fossa_fossana","MDG"
"Galictis_cuja","ARG, BOL, BRA, CHL, PER, PRY, URY"
"Galictis_vittata","BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, SLV, SUR, VEN"
"Galidia_elegans","MDG"
"Galidictis_fasciata","MDG"
"Galidictis_grandidieri","MDG"
"Genetta_abyssinica","DJI, ERI, ETH, SDN, SOM"
"Genetta_angolensis","AGO, BDI, COD, MOZ, MWI, NAM, TZA, ZMB"
"Genetta_bourloni","CIV, GIN, LBR, SLE"
"Genetta_cristata","CMR, NGA"
"Genetta_genetta","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, DJI, DZA, EGY, ERI, ESP, ETH, GHA, GIN, GMB, GNB, KEN, LBY, LSO, MAR, MLI, MOZ, MRT, MWI, NAM, NER, NGA, OMN, RWA, SAU, SDN, SEN, SOM, SSD, SWZ, TCD, TGO, TUN, TZA, UGA, YEM, ZAF, ZMB, ZWE"
"Genetta_johnstoni","CIV, GHA, GIN, LBR, SEN, SLE"
"Genetta_maculata","AGO, BDI, BEN, BFA, BWA, CAF, CMR, COD, COG, DJI, ERI, ETH, GAB, GHA, GNQ, KEN, LSO, MOZ, MWI, NAM, NER, NGA, RWA, SOM, SSD, SWZ, TCD, TGO, TZA, UGA, ZAF, ZMB, ZWE"
"Genetta_pardina","BEN, BFA, CIV, GHA, GIN, GMB, GNB, LBR, MLI, MRT, SEN, SLE, TGO"
"Genetta_piscivora","COD"
"Genetta_poensis","AGO, CIV, COD, COG, GHA, GNQ, LBR"
"Genetta_servalina","AGO, BDI, CAF, CMR, COD, COG, GAB, GNQ, KEN, RWA, SSD, TZA, UGA"
"Genetta_thierryi","BEN, BFA, CAF, CIV, CMR, GHA, GIN, GMB, GNB, LBR, MLI, MRT, NER, NGA, SEN, SLE, TCD, TGO"
"Genetta_tigrina","LSO, ZAF"
"Genetta_victoriae","BDI, COD, RWA, UGA"
"Gulo_gulo","CAN, CHN, FIN, KAZ, MNG, NOR, RUS, SWE, USA"
"Helarctos_malayanus","BGD, BRN, CHN, IDN, IND, KHM, LAO, MMR, MYS, THA, VNM, Z07"
"Helogale_hirtula","ETH, KEN, SOM, SSD, TZA"
"Helogale_parvula","AGO, BDI, BWA, COD, DJI, ERI, ETH, KEN, MOZ, MWI, NAM, RWA, SDN, SOM, SSD, SWZ, TZA, UGA, ZAF, ZMB, ZWE"
"Hemigalus_derbyanus","BRN, IDN, MMR, MYS, SGP, THA"
"Herpailurus_yagouaroundi","ARG, BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, URY, VEN"
"Herpestes_auropunctatus","AFG, BGD, BTN, CHN, IND, IRN, IRQ, MMR, NPL, PAK, TKM, Z01, Z06"
"Herpestes_brachyurus","BRN, IDN, MYS, SGP"
"Herpestes_edwardsii","AFG, BGD, BHR, BTN, IND, IRN, IRQ, KWT, LKA, NPL, PAK, QAT, SAU, TUR, Z01, Z06"
"Herpestes_flavescens","AGO, NAM"
"Herpestes_fuscus","IND, LKA"
"Herpestes_ichneumon","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, COG, DZA, EGY, ERI, ESH, ESP, ETH, GAB, GHA, GIB, GIN, GMB, GNB, ISR, JOR, KEN, LBN, LBR, LBY, MAR, MLI, MOZ, MRT, MWI, NAM, NER, NGA, PRT, PSE, RWA, SDN, SEN, SLE, SOM, SSD, SWZ, SYR, TCD, TGO, TUN, TUR, TZA, UGA, ZAF, ZMB, ZWE"
"Herpestes_javanicus","CHN, COM, IDN, JPN, KHM, LAO, MMR, MYS, MYT, SGP, THA, VNM"
"Herpestes_naso","AGO, CAF, CMR, COD, COG, GAB, GNQ, NGA"
"Herpestes_ochraceus","ETH, KEN, SOM"
"Herpestes_pulverulentus","LSO, NAM, ZAF"
"Herpestes_sanguineus","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, COG, DJI, ERI, ETH, GAB, GHA, GIN, GMB, GNB, KEN, LBR, LSO, MLI, MOZ, MRT, MWI, NAM, NER, NGA, RWA, SDN, SEN, SLE, SOM, SSD, SWZ, TCD, TGO, TZA, UGA, ZAF, ZMB, ZWE"
"Herpestes_semitorquatus","BRN, IDN, MYS"
"Herpestes_smithii","IND, LKA"
"Herpestes_urva","BGD, BTN, CHN, IND, KHM, LAO, MMR, MYS, NPL, THA, TWN, VNM, Z07"
"Herpestes_vitticollis","IND, LKA"
"Hyaena_hyaena","AFG, ARE, ARM, AZE, BDI, BEN, BFA, BHR, CAF, CIV, CMR, DJI, DZA, EGY, ERI, ESH, ESP, ETH, GEO, GHA, IND, IRN, IRQ, ISR, JOR, KEN, KWT, LBN, LBY, MAR, MLI, MRT, NER, NGA, NPL, OMN, PAK, PSE, QAT, RUS, RWA, SAU, SDN, SEN, SOM, SSD, SYR, TCD, TGO, TJK, TKM, TUN, TUR, TZA, UGA, UZB, XCA, YEM, Z01, Z06"
"Hydrictis_maculicollis","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, COG, ETH, GAB, GHA, GIN, GNB, GNQ, KEN, LBR, LSO, MOZ, MWI, NAM, NER, NGA, RWA, SDN, SEN, SLE, SSD, SWZ, TCD, TGO, TZA, UGA, ZAF, ZMB, ZWE"
"Ichneumia_albicauda","AGO, ARE, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, DJI, EGY, ERI, ETH, GHA, GIN, GMB, GNB, KEN, LBR, LSO, MLI, MOZ, MRT, MWI, NAM, NER, NGA, OMN, RWA, SAU, SDN, SEN, SLE, SOM, SSD, SWZ, TCD, TGO, TZA, UGA, YEM, ZAF, ZMB, ZWE"
"Ictonyx_libycus","BEN, BFA, CMR, DZA, EGY, ERI, ESH, ESP, ETH, LBY, MAR, MLI, MRT, NER, NGA, SDN, SEN, TCD, TUN"
"Ictonyx_striatus","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, COG, DJI, ERI, ETH, GHA, GIN, GMB, GNB, KEN, LSO, MLI, MOZ, MRT, MWI, NAM, NER, NGA, RWA, SDN, SEN, SOM, SSD, SWZ, TCD, TGO, TZA, UGA, ZAF, ZMB, ZWE"
"Leopardus_colocolo","ARG, BOL, BRA, CHL, COL, ECU, PER, PRY, URY"
"Leopardus_geoffroyi","ARG, BOL, BRA, CHL, PRY, URY"
"Leopardus_guigna","ARG, CHL"
"Leopardus_guttulus","ARG, BOL, BRA, PRY"
"Leopardus_jacobita","ARG, BOL, CHL, PER"
"Leopardus_pardalis","ARG, BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, USA, VEN"
"Leopardus_tigrinus","ARG, BOL, BRA, COL, CRI, ECU, GUF, GUY, PAN, PER, SUR, VEN"
"Leopardus_wiedii","ARG, BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, URY, VEN"
"Leptailurus_serval","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, COG, DJI, ERI, ETH, GAB, GHA, GIN, GMB, GNB, KEN, LBR, LSO, MAR, MLI, MOZ, MWI, NAM, NER, NGA, RWA, SDN, SEN, SLE, SOM, SSD, SWZ, TCD, TGO, TZA, UGA, ZAF, ZMB, ZWE"
"Liberiictis_kuhni","CIV, GIN, LBR"
"Lontra_canadensis","CAN, MEX, USA"
"Lontra_longicaudis","ARG, BLZ, BOL, BRA, COL, CRI, ECU, GTM, GUF, GUY, HND, MEX, NIC, PAN, PER, PRY, SLV, SUR, URY, VEN"
"Lontra_provocax","ARG, CHL"
"Lutra_lutra","AFG, ALB, AND, ARM, AUT, AZE, BGD, BGR, BIH, BLR, BTN, CHN, CZE, DEU, DNK, DZA, ESP, EST, FIN, FRA, GBR, GEO, GIB, GRC, HRV, HUN, IDN, IND, IRL, IRN, IRQ, ISR, ITA, JOR, KAZ, KGZ, KHM, KOR, KWT, LAO, LBN, LKA, LTU, LVA, MAR, MDA, MKD, MMR, MNE, MNG, NLD, NOR, NPL, PAK, POL, PRK, PRT, PSE, ROU, RUS, SAU, SRB, SVK, SVN, SWE, SYR, THA, TJK, TKM, TUN, TUR, UKR, UZB, VNM, XCA, XKO, Z01, Z06, Z07"
"Lutra_sumatrana","BRN, IDN, KHM, MMR, MYS, SGP, THA, VNM"
"Lutrogale_perspicillata","BGD, BRN, BTN, CHN, IDN, IND, IRN, IRQ, KHM, LAO, MMR, MYS, NPL, PAK, SGP, THA, VNM, Z07"
"Lycalopex_culpaeus","ARG, BOL, CHL, COL, ECU, PER"
"Lycalopex_fulvipes","CHL"
"Lycalopex_griseus","ARG, CHL"
"Lycalopex_gymnocercus","ARG, BOL, BRA, PRY, URY"
"Lycalopex_sechurae","ECU, PER"
"Lycalopex_vetulus","BRA"
"Lycaon_pictus","AGO, BEN, BFA, BWA, CAF, CMR, DZA, ETH, GIN, KEN, LBY, MOZ, MWI, NAM, NER, NGA, SDN, SEN, SOM, SSD, TCD, TZA, ZAF, ZMB, ZWE"
"Lyncodon_patagonicus","ARG, CHL"
"Lynx_canadensis","CAN, USA"
"Lynx_lynx","AFG, ALB, ARM, AUT, AZE, BGR, BIH, BLR, BTN, CHE, CHN, CZE, DEU, EST, FIN, FRA, GEO, HRV, HUN, IND, IRN, ITA, KAZ, KGZ, LIE, LTU, LVA, MKD, MMR, MNE, MNG, NOR, NPL, PAK, POL, PRK, ROU, RUS, SRB, SVK, SVN, SWE, TJK, TKM, TUR, UKR, UZB, XCA, XKO, Z01, Z03, Z04, Z05, Z06, Z07, Z08, Z09"
"Lynx_pardinus","ESP"
"Lynx_rufus","CAN, MEX, USA"
"Macrogalidia_musschenbroekii","IDN"
"Martes_americana","CAN, USA"
"Martes_flavigula","AFG, BGD, BRN, BTN, CHN, IDN, IND, KHM, KOR, LAO, MMR, MYS, NPL, PAK, PRK, RUS, SGP, THA, TWN, VNM, Z01, Z06, Z07"
"Martes_foina","AFG, ALB, AND, ARM, AUT, AZE, BEL, BGR, BIH, BLR, BTN, CHE, CHN, CZE, DEU, DNK, ESP, EST, FRA, GEO, GIB, GRC, HRV, HUN, IND, IRN, IRQ, ISR, ITA, JOR, KAZ, KGZ, LBN, LIE, LTU, LUX, LVA, MCO, MDA, MKD, MMR, MNE, MNG, NLD, NPL, PAK, POL, PRT, PSE, ROU, RUS, SMR, SRB, SVK, SVN, SYR, TJK, TKM, TUR, UKR, UZB, VAT, XCA, XKO, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09"
"Martes_gwatkinsii","IND"
"Martes_martes","ALB, AND, ARM, AUT, AZE, BEL, BGR, BIH, BLR, CHE, CZE, DEU, DNK, ESP, EST, FIN, FRA, GBR, GEO, GRC, HRV, HUN, IRL, IRN, IRQ, ITA, KAZ, KWT, LIE, LTU, LUX, LVA, MCO, MDA, MKD, MNE, NLD, NOR, POL, PRT, ROU, RUS, SMR, SRB, SVK, SVN, SWE, SYR, TUR, UKR, VAT, XCA, XKO"
"Martes_melampus","JPN"
"Martes_pennanti","CAN, USA"
"Martes_zibellina","CHN, JPN, KAZ, MNG, PRK, RUS"
"Meles_anakuma","JPN"
"Meles_leucurus","AFG, CHN, KAZ, KGZ, KOR, MNG, PRK, RUS, TJK, TKM, UZB, XCA, Z06"
"Meles_meles","AFG, ALB, AND, ARM, AUT, AZE, BEL, BGR, BIH, BLR, CHE, CZE, DEU, DNK, EGY, ESP, EST, FIN, FRA, GBR, GEO, GIB, GRC, HRV, HUN, IRL, IRN, IRQ, ISR, ITA, JOR, LBN, LIE, LTU, LUX, LVA, MCO, MDA, MKD, MNE, NLD, NOR, POL, PRT, PSE, ROU, RUS, SMR, SRB, SVK, SVN, SWE, SYR, TJK, TKM, TUR, UKR, UZB, VAT, XCA, XKO"
"Mellivora_capensis","AFG, AGO, ARE, BDI, BEN, BFA, BHR, BWA, CAF, CIV, CMR, COD, COG, DJI, DZA, EGY, ERI, ESH, ETH, GAB, GHA, GIN, GMB, GNB, GNQ, IND, IRN, IRQ, ISR, JOR, KAZ, KEN, KWT, LBN, LBR, LSO, MAR, MLI, MOZ, MRT, MWI, NAM, NER, NGA, NPL, OMN, PAK, PSE, QAT, RWA, SAU, SDN, SEN, SLE, SOM, SSD, SWZ, SYR, TCD, TGO, TKM, TZA, UGA, UZB, XCA, YEM, ZAF, ZMB, ZWE"
"Melogale_moschata","BGD, BTN, CHN, IND, KHM, LAO, MMR, THA, TWN, VNM, Z07"
"Melogale_orientalis","IDN"
"Melogale_personata","BGD, BTN, CHN, IND, KHM, LAO, MMR, NPL, THA, VNM, Z07"
"Melursus_ursinus","BTN, IND, LKA, NPL, Z07"
"Mephitis_macroura","GTM, HND, MEX, NIC, SLV, USA"
"Mephitis_mephitis","CAN, MEX, USA"
"Mungos_gambianus","BEN, BFA, CIV, GHA, GIN, GMB, GNB, LBR, MLI, NGA, SEN, SLE, TGO"
"Mungos_mungo","AGO, BDI, BEN, BFA, BWA, CAF, CIV, CMR, COD, COG, DJI, ERI, ETH, GAB, GHA, GIN, GMB, GNB, KEN, MLI, MOZ, MWI, NAM, NGA, RWA, SDN, SEN, SOM, SSD, SWZ, TCD, TZA, UGA, ZAF, ZMB, ZWE"
"Mungotictis_decemlineata","MDG"
"Mustela_africana","BOL, BRA, COL, ECU, GUF, GUY, PER, SUR, VEN"
"Mustela_altaica","AFG, BTN, CHN, IND, KAZ, KGZ, MMR, MNG, NPL, PAK, PRK, RUS, TJK, UZB, Z01, Z02, Z03, Z04, Z05, Z06, Z07, Z08, Z09"
"Mustela_erminea","AFG, ALA, AND, AUT, BEL, BIH, BLR, CAN, CHE, CHN, CZE, DEU, DNK, ESP, EST, FIN, FRA, GBR, GRL, HRV, HUN, IND, IRL, ITA, JPN, KAZ, KGZ, LIE, LTU, LUX, LVA, MDA, MNG, NLD, NOR, PAK, POL, PRT, ROU, RUS, SRB, SVK, SVN, SWE, TJK, UKR, USA, UZB, Z01, Z02, Z06"
"Mustela_eversmanii","AFG, AUT, BGR, BLR, CHN, CZE, GEO, HRV, HUN, KAZ, KGZ, MDA, MNG, POL, ROU, RUS, SRB, SVK, TJK, TKM, UKR, UZB, XCA"
"Mustela_felipei","COL, ECU"
"Mustela_frenata","BLZ, BOL, BRA, CAN, COL, CRI, ECU, GTM, HND, MEX, NIC, PAN, PER, SLV, USA, VEN"
"Mustela_itatsi","JPN"
"Mustela_kathiah","BGD, BTN, CHN, IND, KHM, LAO, MMR, NPL, THA, VNM, Z04, Z05, Z07, Z09"
"Mustela_lutreola","ESP, EST, FRA, MDA, ROU, UKR"
"Mustela_lutreolina","IDN"
"Mustela_nigripes","USA"
"Mustela_nivalis","AFG, ALB, AND, ARM, AUT, AZE, BEL, BGR, BIH, BLR, CAN, CHE, CHN, CZE, DEU, DNK, DZA, ESP, EST, FIN, FRA, GBR, GEO, GIB, GRC, HRV, HUN, IRN, IRQ, ITA, JPN, KAZ, KGZ, KOR, LBN, LIE, LTU, LUX, LVA, MAR, MCO, MDA, MKD, MNE, MNG, NLD, NOR, POL, PRK, PRT, ROU, RUS, SMR, SRB, SVK, SVN, SWE, SYR, TJK, TKM, TUN, TUR, TWN, UKR, USA, UZB, VAT, XCA, XKO"
"Mustela_nudipes","BRN, IDN, MMR, MYS, THA"
"Mustela_putorius","ALB, AND, AUT, BEL, BGR, BIH, BLR, CHE, CZE, DEU, DNK, ESP, EST, FIN, FRA, GBR, GIB, GRC, HRV, HUN, ITA, LIE, LTU, LUX, LVA, MAR, MCO, MDA, MKD, MNE, NLD, NOR, POL, PRT, ROU, RUS, SMR, SRB, SVK, SVN, SWE, TUR, UKR, VAT, XKO"
"Mustela_sibirica","AFG, BTN, CHN, IND, JPN, KAZ, KOR, LAO, MMR, MNG, NPL, PAK, PRK, RUS, THA, TWN, VNM, Z01, Z04, Z05, Z06, Z07, Z09"
"Mustela_strigidorsa","BGD, BTN, CHN, IND, LAO, MMR, NPL, THA, VNM, Z07"
"Mustela_subpalmata","EGY"
"Mustela_tonkinensis","VNM"
"Mydaus_javanensis","BRN, IDN, MYS"
"Mydaus_marchei","PHL"
